Type,Method,Size,Run,Correct,Total Time (ms),Kernel Time (ms)
uint64,SingleThread,1000000,2,true,1726.98511,1725.99048
uint64,SingleThread,1000000,3,true,1726.45605,1725.47375
uint64,SingleThread,10000000,1,true,28622.82031,28613.66992
uint64,SingleThread,10000000,2,true,28623.55859,28614.45898
uint64,SingleThread,10000000,3,true,28623.28320,28614.13086
uint64,ParallelNaive,10,1,true,0.04611,0.02662
uint64,ParallelNaive,10,2,true,0.02093,0.00614
uint64,ParallelNaive,10,3,true,0.01894,0.00621
uint64,ParallelNaive,100,1,true,0.04723,0.03379
uint64,ParallelNaive,100,2,true,0.05187,0.03379
uint64,ParallelNaive,100,3,true,0.05190,0.03389
uint64,ParallelNaive,1000,1,true,0.10691,0.08842
uint64,ParallelNaive,1000,2,true,0.10365,0.08416
uint64,ParallelNaive,1000,3,true,0.10320,0.08499
uint64,ParallelNaive,10000,1,true,0.17350,0.14307
uint64,ParallelNaive,10000,2,true,0.17322,0.14282
uint64,ParallelNaive,10000,3,true,0.16394,0.13616
uint64,ParallelNaive,100000,1,true,0.72211,0.55421
uint64,ParallelNaive,100000,2,true,0.72790,0.55786
uint64,ParallelNaive,100000,3,true,0.72234,0.55197
uint64,ParallelNaive,1000000,1,true,5.70534,4.69798
uint64,ParallelNaive,1000000,2,true,5.65984,4.68083
uint64,ParallelNaive,1000000,3,true,5.61888,4.63459
uint64,ParallelNaive,10000000,1,true,80.02400,70.84109
uint64,ParallelNaive,10000000,2,true,79.79277,70.68211
uint64,ParallelNaive,10000000,3,true,79.79568,70.67776
int64,SingleThread,10,1,true,0.04096,0.02355
int64,SingleThread,10,2,true,0.01936,0.00512
int64,SingleThread,10,3,true,0.01850,0.00614
int64,SingleThread,100,1,true,0.05920,0.04710
int64,SingleThread,100,2,true,0.05920,0.04710
int64,SingleThread,100,3,true,0.05981,0.04746
int64,SingleThread,1000,1,true,0.62915,0.61235
int64,SingleThread,1000,2,true,0.63882,0.60826
int64,SingleThread,1000,3,true,0.62515,0.60928
int64,SingleThread,10000,1,true,11.26941,11.23904
int64,SingleThread,10000,2,true,11.26310,11.23491
int64,SingleThread,10000,3,true,11.26090,11.23066
int64,SingleThread,100000,1,true,142.89500,142.73257
int64,SingleThread,100000,2,true,142.89532,142.72714
int64,SingleThread,100000,3,true,142.88820,142.72633
int64,SingleThread,1000000,1,true,1724.56372,1723.53809
int64,SingleThread,1000000,2,true,1724.60803,1723.62561
int64,SingleThread,1000000,3,true,1724.56323,1723.58752
int64,SingleThread,10000000,1,true,28588.76367,28579.67969
int64,SingleThread,10000000,2,true,28591.33594,28582.03320
int64,SingleThread,10000000,3,true,28590.67578,28581.58203
int64,ParallelNaive,10,1,true,0.04797,0.02797
int64,ParallelNaive,10,2,true,0.02038,0.00614
int64,ParallelNaive,10,3,true,0.01878,0.00614
int64,ParallelNaive,100,1,true,0.05242,0.03379
int64,ParallelNaive,100,2,true,0.05107,0.03379
int64,ParallelNaive,100,3,true,0.04832,0.03379
int64,ParallelNaive,1000,1,true,0.10275,0.08806
int64,ParallelNaive,1000,2,true,0.10282,0.08499
int64,ParallelNaive,1000,3,true,0.10285,0.08499
int64,ParallelNaive,10000,1,true,0.17562,0.14304
int64,ParallelNaive,10000,2,true,0.17482,0.14211
